id,advertiser,started,days_running,hook,offer,copy,domain,cta
1283298693760594,Autodesk Construction,"Mar 27, 2026",177,pain_question,saas_subscription,Struggling to keep projects on track? See all your field and project management workflows in one place with Forma Build.,CONSTRUCTION.AUTODESK.COM,Learn more
1584143112641322,Autodesk Construction,"Mar 27, 2026",177,direct_offer,saas_subscription,Collaborate from start to finish for simpler project delivery. Connect your field and project management workflows with Forma Build.,CONSTRUCTION.AUTODESK.COM,Learn more
1585874526267925,"80,000 Hours","Jul 17, 2026",65,direct_offer,recruiting,"Our job board connects talented people to roles where their skills meet pressing needs, highlighting opportunities based on their potential to enable you to address global challenges.",,
1471765841380224,Autodesk Construction,"Jul 17, 2026",65,curiosity_claim,saas_subscription,Turn field teams into design partners. Give crews access to the latest design information so they can resolve issues before they reach the jobsite.,CONSTRUCTION.AUTODESK.COM,Learn more
999120229620975,Autodesk Construction,"Jul 10, 2026",72,proof_stats,saas_subscription,"Autodesk Forma is ranked a Leader in Takeoff, Estimating, and Bid Management. See why leading teams trust Autodesk Forma to set the standard in preconstruction.",GETCONSTRUCTIONCLOUD.AUTODESK.COM,Learn more
1000878149361808,Quickbase,"Jun 11, 2026",101,feature_list,saas_subscription,"Build Smarter, Not Harder 🚧 Ready to upgrade your construction software? ✅ Bidding and estimation ✅ Project, Resources and Safety management ✅ Connect construction teams ✅ Complete financial information",QUICKBASE.COM,
2264372994338612,Autodesk Construction,"Jul 17, 2026",65,curiosity_claim,saas_subscription,Build it right the first time. Connect design and construction with a single source of truth that helps teams coordinate earlier and reduce rework.,CONSTRUCTION.AUTODESK.COM,Learn more
1402711395008789,Trimble Construction,"Jul 23, 2026",59,pain_question,saas_subscription,Stop toggling between apps. Manage 360° capture natively inside ProjectSight to make visual data instantly actionable.,,
1045681557883121,Babutechnologies,"Jul 9, 2026",73,,,,API.WHATSAPP.COM,
1342468984487322,Ascora,"Jun 15, 2026",97,feature_list,demo_or_trial,"Advanced scheduling that handles 10 or 100 users, equipment tracking, multi-phase project jobs, and team-level reporting at a price that makes sense for growing HVAC businesses. Book your personalized demo today!",ASCORA.IO,Learn more
