slug,aspect,status,image_id,local_file,error
01-ugc-fleet,9:16,completed,425763617101083,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\01-ugc-fleet.png,
02-virtual-influencer,9:16,completed,425763656189750,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\02-virtual-influencer.png,
03-mascot-system,9:16,completed,425763717159110,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\03-mascot-system.png,
04-testimonial-theater,9:16,completed,425763764468135,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\04-testimonial-theater.png,
05-webtoon,9:16,completed,425763807621700,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\05-webtoon.png,
06-sound-on,9:16,completed,425763850924518,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\06-sound-on.png,
07-localization-fleet,9:16,completed,425763894375424,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\07-localization-fleet.png,
08-seasonal-factory,9:16,completed,425763937267475,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\08-seasonal-factory.png,
09-hook-library,9:16,completed,425763972272710,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\09-hook-library.png,
10-thumbnail-cro,16:9,completed,425764011211461,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\10-thumbnail-cro.png,
11-refresh-retainer,9:16,completed,425764045608659,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\11-refresh-retainer.png,
12-broll-packs,16:9,completed,425764089271702,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\12-broll-packs.png,
13-indiegame-worldkit,16:9,completed,425764120143647,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\13-indiegame-worldkit.png,
14-kids-shorts,9:16,completed,425764159085047,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\14-kids-shorts.png,
15-meme-feed,9:16,completed,425764202295015,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\15-meme-feed.png,
16-sonic-branding,9:16,completed,425764249805383,C:\Users\ged\.zcode\workspace\default\jevmax\creative\concepts\16-sonic-branding.png,
