slug,aspect,status,image_id,local_file,error
pfp-windmill-mark,1:1,completed,425911663143383,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\pfp-windmill-mark.png,
01-hole01-lighthouse,1:1,completed,425911718807750,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\01-hole01-lighthouse.png,
02-hole07-whale,1:1,completed,425911785077920,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\02-hole07-whale.png,
03-hole13-dark,1:1,completed,425911842307401,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\03-hole13-dark.png,
01-hole01-lighthouse-a2,1:1,completed,425912247996609,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\01-hole01-lighthouse-a2.png,
02-hole07-whale-a2,1:1,completed,425912295360841,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\02-hole07-whale-a2.png,
03-hole13-dark-a2,1:1,completed,425912341635348,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\03-hole13-dark-a2.png,
04-scorecard,1:1,completed,425913638287601,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\04-scorecard.png,
05-course-map,1:1,completed,425914240139616,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\05-course-map.png,
06-hole09-windmill,1:1,completed,425914301472981,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\06-hole09-windmill.png,
07-hole04-lagoon,1:1,completed,425914363273650,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\07-hole04-lagoon.png,
08-maintenance-cam,1:1,completed,425914416416721,C:\Users\ged\.zcode\workspace\default\jevmax\creative\glow-golf\08-maintenance-cam.png,
04-scorecard-a2,1:1,completed,425914733873388,C:\Users\ged\workspace\default\jevmax\creative\glow-golf\04-scorecard-a2.png,
09-hole02-castle,1:1,completed,425944415279401,C:\Users\ged\workspace\default\jevmax\creative\glow-golf\09-hole02-castle.png,
