query,impressions,clicks,cost,ctr,p_buyer,verdict
what is kanban,3300,38,95.00,1.15%,0.10,NEGATIVE
agile vs waterfall,1850,21,61.90,1.14%,0.15,NEGATIVE
how do gantt charts work,940,12,30.00,1.28%,0.14,NEGATIVE
project management definition,4100,26,65.00,0.63%,0.08,NEGATIVE
project manager jobs remote,2200,19,52.25,0.86%,0.03,NEGATIVE
product manager salary 2026,1500,14,35.00,0.93%,0.03,NEGATIVE
breeze airways review,610,22,57.20,3.61%,0.03,NEGATIVE
breeze block sizes,85,3,6.15,3.53%,0.05,NEGATIVE
free movies online,290,2,3.40,0.69%,0.01,NEGATIVE
how to manage a small team,730,11,27.50,1.51%,0.16,NEGATIVE
what does a project manager do,1200,10,22.00,0.83%,0.06,NEGATIVE
project management certification online,870,15,37.50,1.72%,0.10,NEGATIVE
kanban board template,1050,22,70.40,2.10%,0.27,NEGATIVE
