ts,shot,kind,status,credits,id,url,local,error
2026-09-23 13:18:26,S02,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:18:27,S03,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:18:28,S04,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:18:29,S05,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:18:30,S06,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:18:31,S07,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:18:32,S08,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:18:33,S09,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:18:34,S10,seed,error,,,,,"{""status"": ""error"", ""error"": ""image-2.5\\\"" is not supported for image creation.\\n  Allowed models: gpt-image-2.5-flare, gpt-image-2.5-sunburst, gpt-image-2.0, gemini-3.1-flash, gemini-3.1-flash-lite"
2026-09-23 13:20:53,S02,seed,OK,,426117692525181,https://media.pixverse.ai/pixverse%2Fi2i%2Fori%2F7257d4f5-f366-4031-a1d8-1501467d2fa1.png,C:\Users\ged\.zcode\workspace\default\dial-m-for-moon\renders\seeds\S02_seed.png,
